name,type,start_time,duration,"register","addr","data","waits","pkey"
"TPM SPI","write",5.19274687,1.584e-06,"TPM_DATA_FIFO_0","d40024","52",0x0000000000000001,
"TPM SPI","write",5.19274876,1.578e-06,"TPM_DATA_FIFO_0","d40024","c1",0x0000000000000001,
"TPM SPI","write",5.19275064,1.59e-06,"TPM_DATA_FIFO_0","d40024","1a",0x0000000000000001,
"TPM SPI","write",5.19275255,1.572e-06,"TPM_DATA_FIFO_0","d40024","8e",0x0000000000000001,
"TPM SPI","write",5.19275442,1.594e-06,"TPM_DATA_FIFO_0","d40024","c3",0x0000000000000001,
"TPM SPI","write",5.19275633,1.568e-06,"TPM_DATA_FIFO_0","d40024","ea",0x0000000000000001,
"TPM SPI","write",5.1927582,1.598e-06,"TPM_DATA_FIFO_0","d40024","d5",0x0000000000000001,
"TPM SPI","write",5.19276011,1.566e-06,"TPM_DATA_FIFO_0","d40024","32",0x0000000000000001,
"TPM SPI","write",5.19276198,1.602e-06,"TPM_DATA_FIFO_0","d40024","95",0x0000000000000001,
"TPM SPI","write",5.19276389,1.566e-06,"TPM_DATA_FIFO_0","d40024","3e",0x0000000000000001,
"TPM SPI","write",5.19276576,1.604e-06,"TPM_DATA_FIFO_0","d40024","9c",0x0000000000000001,
"TPM SPI","write",5.19276767,1.568e-06,"TPM_DATA_FIFO_0","d40024","fd",0x0000000000000001,
"TPM SPI","write",5.19276955,1.602e-06,"TPM_DATA_FIFO_0","d40024","83",0x0000000000000001,
"TPM SPI","write",5.19277145,1.568e-06,"TPM_DATA_FIFO_0","d40024","a4",0x0000000000000001,
"TPM SPI","write",5.19277333,1.6e-06,"TPM_DATA_FIFO_0","d40024","4a",0x0000000000000001,
"TPM SPI","write",5.19277523,1.57e-06,"TPM_DATA_FIFO_0","d40024","bb",0x0000000000000001,
"TPM SPI","write",5.19277712,1.598e-06,"TPM_DATA_FIFO_0","d40024","ef",0x0000000000000001,
"TPM SPI","write",5.19277902,1.576e-06,"TPM_DATA_FIFO_0","d40024","7f",0x0000000000000001,
"TPM SPI","write",5.19278091,1.596e-06,"TPM_DATA_FIFO_0","d40024","44",0x0000000000000001,
"TPM SPI","write",5.1927828,1.582e-06,"TPM_DATA_FIFO_0","d40024","ec",0x0000000000000001,
"TPM SPI","write",5.1927847,1.586e-06,"TPM_DATA_FIFO_0","d40024","ed",0x0000000000000001,
"TPM SPI","write",5.19278659,1.586e-06,"TPM_DATA_FIFO_0","d40024","5f",0x0000000000000001,
"TPM SPI","write",5.19278849,1.576e-06,"TPM_DATA_FIFO_0","d40024","df",0x0000000000000001,
"TPM SPI","write",5.19279037,1.592e-06,"TPM_DATA_FIFO_0","d40024","51",0x0000000000000001,
"TPM SPI","read",5.19283178,1.576e-06,"TPM_STS_0","d40018","8c",0x0000000000000001,
"TPM SPI","read",5.19283466,1.598e-06,"TPM_STS_0","d40018","8c",0x0000000000000001,
"TPM SPI","write",5.19283762,1.598e-06,"TPM_DATA_FIFO_0","d40024","fa",0x0000000000000001,
"TPM SPI","read",5.19299601,1.582e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","read",5.19299889,1.564e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","write",5.19300185,1.57e-06,"TPM_STS_0","d40018","20",0x0000000000000001,
"TPM SPI","read",5.19316117,1.566e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19332345,1.57e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19348579,1.568e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19364815,1.58e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19381049,1.59e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19397282,1.59e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19413516,1.598e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19429749,1.588e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19445983,1.604e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19462218,1.602e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19478452,1.602e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",5.19494688,1.604e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
